City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ancud,-41.8697,-73.8203,8.29,90,100,10.67,CL,1719355705
84,thompson,55.7435,-97.8558,16.78,34,82,4.13,CA,1719355707
85,south sioux city,42.4739,-96.4136,32.97,57,0,3.6,US,1719355708
86,al artawiyah,26.5053,45.3444,31.29,17,0,3.69,SA,1719355709
87,st. john's,47.5649,-52.7093,11.2,98,100,3.6,CA,1719355532
88,aubenas,44.6201,4.3899,17.87,99,100,0.57,FR,1719355711
89,san buenaventura,27.0833,-101.5333,35.03,37,7,5.58,MX,1719355520
90,bengkulu,-3.8004,102.2655,24.38,81,77,2.19,ID,1719355713
91,vila velha,-20.3297,-40.2925,24.97,73,0,5.66,BR,1719355504
92,syktyvkar,61.6764,50.8099,10.85,71,75,2.0,RU,1719355715
93,meadow lake,34.8014,-106.5436,38.0,20,9,4.05,US,1719355717
94,berezovyy,51.6667,135.7,15.27,83,100,1.8,RU,1719355718
95,nieuw amsterdam,5.8833,-55.0833,25.09,94,40,0.0,SR,1719355719
96,pursat,12.3333,103.6667,21.32,93,100,0.58,KH,1719355721
97,chonchi,-42.6128,-73.8092,7.29,92,100,4.52,CL,1719355646
98,bani walid,31.7566,13.9942,22.63,74,0,9.25,LY,1719355723
99,ruidoso,33.3317,-105.673,32.54,34,20,4.63,US,1719355725
100,port-vila,-17.7338,168.3219,25.9,72,61,7.44,VU,1719355727
101,at taj,24.2049,23.2857,28.49,16,4,3.84,LY,1719355728
102,taltal,-25.4,-70.4833,15.07,76,60,2.05,CL,1719355221
103,prince rupert,54.3161,-130.3201,14.97,74,100,1.99,CA,1719355640
104,uberlandia,-18.9186,-48.2772,23.56,43,0,2.57,BR,1719355731
105,chernyshevskiy,63.0128,112.4714,18.06,65,89,4.14,RU,1719355732
106,viedma,-40.8135,-62.9967,6.43,60,2,7.72,AR,1719355687
107,kodiak,57.79,-152.4072,9.73,93,100,4.63,US,1719355735
